example,month,half_month,day,day_of_year,leap_example,leap_month,leap_half_month,leap_day
2001-05-11,5,5.3,11,131,2000-05-10,5,5.3,10
2001-05-12,5,5.3,12,132,2000-05-11,5,5.3,11
2001-05-13,5,5.3,13,133,2000-05-12,5,5.3,12
2001-05-14,5,5.3,14,134,2000-05-13,5,5.3,13
2001-05-15,5,5.3,15,135,2000-05-14,5,5.3,14
2001-05-16,5,5.7,16,136,2000-05-15,5,5.3,15
2001-05-17,5,5.7,17,137,2000-05-16,5,5.7,16
2001-05-18,5,5.7,18,138,2000-05-17,5,5.7,17
2001-05-19,5,5.7,19,139,2000-05-18,5,5.7,18
2001-05-20,5,5.7,20,140,2000-05-19,5,5.7,19
2001-05-21,5,5.7,21,141,2000-05-20,5,5.7,20
2001-05-22,5,5.7,22,142,2000-05-21,5,5.7,21
2001-05-23,5,5.7,23,143,2000-05-22,5,5.7,22
2001-05-24,5,5.7,24,144,2000-05-23,5,5.7,23
2001-05-25,5,5.7,25,145,2000-05-24,5,5.7,24
2001-05-26,5,5.7,26,146,2000-05-25,5,5.7,25
2001-05-27,5,5.7,27,147,2000-05-26,5,5.7,26
2001-05-28,5,5.7,28,148,2000-05-27,5,5.7,27
2001-05-29,5,5.7,29,149,2000-05-28,5,5.7,28
2001-05-30,5,5.7,30,150,2000-05-29,5,5.7,29
2001-05-31,5,5.7,31,151,2000-05-30,5,5.7,30
2001-06-01,6,6.3,1,152,2000-05-31,5,5.7,31
2001-06-02,6,6.3,2,153,2000-06-01,6,6.3,1
2001-06-03,6,6.3,3,154,2000-06-02,6,6.3,2
2001-06-04,6,6.3,4,155,2000-06-03,6,6.3,3
2001-06-05,6,6.3,5,156,2000-06-04,6,6.3,4
2001-06-06,6,6.3,6,157,2000-06-05,6,6.3,5
2001-06-07,6,6.3,7,158,2000-06-06,6,6.3,6
2001-06-08,6,6.3,8,159,2000-06-07,6,6.3,7
2001-06-09,6,6.3,9,160,2000-06-08,6,6.3,8
2001-06-10,6,6.3,10,161,2000-06-09,6,6.3,9
2001-06-11,6,6.3,11,162,2000-06-10,6,6.3,10
2001-06-12,6,6.3,12,163,2000-06-11,6,6.3,11
2001-06-13,6,6.3,13,164,2000-06-12,6,6.3,12
2001-06-14,6,6.3,14,165,2000-06-13,6,6.3,13
2001-06-15,6,6.3,15,166,2000-06-14,6,6.3,14
2001-06-16,6,6.7,16,167,2000-06-15,6,6.3,15
2001-06-17,6,6.7,17,168,2000-06-16,6,6.7,16
2001-06-18,6,6.7,18,169,2000-06-17,6,6.7,17
2001-06-19,6,6.7,19,170,2000-06-18,6,6.7,18
2001-06-20,6,6.7,20,171,2000-06-19,6,6.7,19
2001-06-21,6,6.7,21,172,2000-06-20,6,6.7,20
2001-06-22,6,6.7,22,173,2000-06-21,6,6.7,21
2001-06-23,6,6.7,23,174,2000-06-22,6,6.7,22
2001-06-24,6,6.7,24,175,2000-06-23,6,6.7,23
2001-06-25,6,6.7,25,176,2000-06-24,6,6.7,24
2001-06-26,6,6.7,26,177,2000-06-25,6,6.7,25
2001-06-27,6,6.7,27,178,2000-06-26,6,6.7,26
